scientific,name,status,states,infraspecies,profile
Strepera fuliginosa colei,Black Currawong (King Island),Vulnerable,"[""TAS""]",colei,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67113
Strepera graculina crissalis,"Lord Howe Island Currawong, Pied Currawong (Lord Howe Island)",Vulnerable,"[""NSW""]",crissalis,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25994
Thalassarche bulleri,"Buller's Albatross, Pacific Albatross",Vulnerable,"[""SA"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64460
Thalassarche bulleri platei,"Northern Buller's Albatross, Pacific Albatross",Vulnerable,"[""SA"", ""NSW"", ""VIC"", ""TAS""]",platei,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82273
Thalassarche carteri,Indian Yellow-nosed  Albatross,Vulnerable,"[""WA"", ""SA"", ""QLD"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64464
Thalassarche cauta,Shy Albatross,Endangered,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89224
Thalassarche chrysostoma,Grey-headed Albatross,Endangered,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66491
Thalassarche eremita,Chatham Albatross,Endangered,"[""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64457
Thalassarche impavida,"Campbell Albatross, Campbell Black-browed Albatross",Vulnerable,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64459
Thalassarche melanophris,Black-browed Albatross,Vulnerable,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66472
Thalassarche salvini,Salvin's Albatross,Vulnerable,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64463
Thalassarche steadi,White-capped Albatross,Vulnerable,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64462
Thinornis cucullatus cucullatus,"Eastern Hooded Plover, Eastern Hooded Plover",Vulnerable,"[""SA"", ""NSW"", ""VIC"", ""TAS""]",cucullatus,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=90381
Tringa nebularia,"Common Greenshank, Greenshank",Endangered,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=832
Turnix melanogaster,Black-breasted Button-quail,Vulnerable,"[""QLD"", ""NSW""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=923
Turnix olivii,Buff-breasted Button-quail,Critically Endangered,"[""QLD""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59293
Turnix varius scintillans,Painted Button-quail (Houtman Abrolhos),Endangered,"[""WA""]",scintillans,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82451
Tyto novaehollandiae castanops (Tasmanian population),Masked Owl (Tasmanian),Vulnerable,"[""TAS""]",castanops (Tasmanian population),http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67051
Tyto novaehollandiae kimberli,Masked Owl (northern),Vulnerable,"[""WA"", ""NT"", ""QLD""]",kimberli,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26048
Tyto novaehollandiae melvillensis,"Tiwi Masked Owl, Tiwi Islands Masked Owl",Endangered,"[""NT""]",melvillensis,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26049
Xenus cinereus,Terek Sandpiper,Vulnerable,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59300
Zoothera lunulata halmaturina,"South Australian Bassian Thrush, Western Bassian Thrush",Endangered,"[""SA""]",halmaturina,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67121
