scientific,name,status,states,infraspecies,profile
Callocephalon fimbriatum,Gang-gang Cockatoo,Endangered,"[""SA"", ""NSW"", ""VIC"", ""TAS"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=768
Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,Endangered,"[""SA"", ""VIC""]",graptogyne,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25982
Calyptorhynchus banksii naso,"Forest Red-tailed Black-Cockatoo, Karrak",Vulnerable,"[""WA""]",naso,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67034
Calyptorhynchus baudinii,"Baudin's Cockatoo, Long-billed Black-Cockatoo",Endangered,"[""WA""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=769
Calyptorhynchus lathami halmaturinus,"Kangaroo Island Glossy Black-Cockatoo, Glossy Black-Cockatoo (South Australian)",Endangered,"[""SA""]",halmaturinus,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64436
Calyptorhynchus lathami lathami,South-eastern Glossy Black-Cockatoo,Vulnerable,"[""QLD"", ""NSW"", ""VIC"", ""ACT""]",lathami,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67036
Calyptorhynchus latirostris,"Carnaby's Cockatoo,  Short-billed Black-Cockatoo",Endangered,"[""WA""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59523
Casuarius casuarius johnsonii,"Southern Cassowary, Australian Cassowary, Double-wattled Cassowary",Endangered,"[""QLD""]",johnsonii,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25986
Cereopsis novaehollandiae grisea,"Cape Barren Goose (south-western), Recherche Cape Barren Goose",Vulnerable,"[""WA""]",grisea,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25978
Ceyx azureus diemenensis,Tasmanian Azure Kingfisher,Endangered,"[""TAS""]",diemenensis,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25977
Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Vulnerable,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=877
Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Endangered,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=879
Cinclosoma punctatum anachoreta,"Mt Lofty Ranges Spotted Quail-thrush, Spotted Quail-thrush (Mt Lofty Ranges)",Critically Endangered,"[""SA""]",anachoreta,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67099
Climacteris picumnus victoriae,Brown Treecreeper (south-eastern),Vulnerable,"[""QLD"", ""NSW"", ""VIC"", ""ACT""]",victoriae,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67062
Cyclopsitta diophthalma coxeni,Coxen's Fig-Parrot,Critically Endangered,"[""QLD"", ""NSW""]",coxeni,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59714
Dasyornis brachypterus,Eastern Bristlebird,Endangered,"[""QLD"", ""NSW"", ""VIC""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=533
Dasyornis longirostris,Western Bristlebird,Endangered,"[""WA""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=515
Diomedea amsterdamensis,Amsterdam Albatross,Endangered,"[""WA""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64405
Diomedea antipodensis,Antipodean Albatross,Vulnerable,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64458
Diomedea antipodensis gibsoni,Gibson's Albatross,Vulnerable,"[""QLD"", ""NSW"", ""VIC"", ""TAS""]",gibsoni,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82270
Diomedea dabbenena,Tristan Albatross,Endangered,"[""WA"", ""SA""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66471
Diomedea epomophora,Southern Royal Albatross,Vulnerable,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89221
Diomedea exulans,Wandering Albatross,Vulnerable,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89223
Diomedea sanfordi,Northern Royal Albatross,Endangered,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64456
Epthianura crocea macgregori,"Capricorn Yellow Chat, Yellow Chat (Dawson)",Critically Endangered,"[""QLD""]",macgregori,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67090
Epthianura crocea tunneyi,"Alligator Rivers Yellow Chat, Yellow Chat (Alligator Rivers)",Endangered,"[""NT""]",tunneyi,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67089
Erythrotriorchis radiatus,Red Goshawk,Endangered,"[""WA"", ""NT"", ""QLD"", ""NSW""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=942
Erythrura gouldiae,Gouldian Finch,Endangered,"[""WA"", ""NT"", ""QLD""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=413
Falco hypoleucos,Grey Falcon,Vulnerable,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=929
Falcunculus frontatus whitei,"Crested Shrike-tit (northern), Northern Shrike-tit",Vulnerable,"[""WA"", ""NT""]",whitei,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26013
Fregetta grallaria grallaria,"White-bellied Storm-Petrel (Tasman Sea), White-bellied Storm-Petrel (Australasian)",Vulnerable,"[""QLD"", ""NSW"", ""VIC"", ""TAS""]",grallaria,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64438
Gallinago hardwickii,"Latham's Snipe, Japanese Snipe",Vulnerable,"[""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=863
Geophaps scripta scripta,Squatter Pigeon (southern),Vulnerable,"[""QLD"", ""NSW""]",scripta,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64440
Geophaps smithii blaauwi,Partridge Pigeon (western),Vulnerable,"[""WA""]",blaauwi,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66501
Geophaps smithii smithii,Partridge Pigeon (eastern),Vulnerable,"[""WA"", ""NT""]",smithii,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64441
Grantiella picta,Painted Honeyeater,Vulnerable,"[""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=470
Halobaena caerulea,Blue Petrel,Vulnerable,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1059
Hirundapus caudacutus,White-throated Needletail,Vulnerable,"[""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=682
Hylacola cauta halmaturina,Shy Heathwren (Kangaroo Island),Vulnerable,"[""SA""]",halmaturina,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82332
Hypotaenidia sylvestris,Lord Howe Woodhen,Endangered,"[""NSW""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87732
Lathamus discolor,Swift Parrot,Critically Endangered,"[""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS"", ""ACT""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=744
Leipoa ocellata,Malleefowl,Vulnerable,"[""WA"", ""NT"", ""SA"", ""NSW"", ""VIC""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=934
Leucocarbo atriceps purpurascens,Imperial Shag (Macquarie Island),Vulnerable,"[""TAS""]",purpurascens,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66995
Lichenostomus melanops cassidix,"Helmeted Honeyeater, Yellow-tufted Honeyeater (Helmeted)",Critically Endangered,"[""VIC""]",cassidix,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26011
Limnodromus semipalmatus,Asian Dowitcher,Vulnerable,"[""WA"", ""NT"", ""QLD"", ""NSW""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=843
Limosa lapponica baueri,"Nunivak Bar-tailed Godwit, Western Alaskan Bar-tailed Godwit",Endangered,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",baueri,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86380
Limosa lapponica menzbieri,"Northern Siberian Bar-tailed Godwit, Russkoye Bar-tailed Godwit",Endangered,"[""WA"", ""NT"", ""QLD""]",menzbieri,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86432
Limosa limosa,Black-tailed Godwit,Endangered,"[""WA"", ""NT"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=845
Lophochroa leadbeateri leadbeateri,"Major Mitchell's Cockatoo (eastern), Eastern Major Mitchell's Cockatoo, Pink Cockatoo (eastern)",Endangered,"[""SA"", ""QLD"", ""NSW"", ""VIC""]",leadbeateri,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82926
Macronectes giganteus,"Southern Giant-Petrel, Southern Giant Petrel",Endangered,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1060
Macronectes halli,Northern Giant Petrel,Vulnerable,"[""WA"", ""SA"", ""QLD"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1061
Malurus coronatus coronatus,Purple-crowned Fairy-wren (western),Endangered,"[""WA"", ""NT""]",coronatus,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64442
Malurus leucopterus edouardi,"White-winged Fairy-wren (Barrow Island), Barrow Island Black-and-white Fairy-wren",Vulnerable,"[""WA""]",edouardi,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26194
Malurus leucopterus leucopterus,"White-winged Fairy-wren (Dirk Hartog Island), Dirk Hartog Black-and-White Fairy-wren",Vulnerable,"[""WA""]",leucopterus,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26004
Manorina melanotis,Black-eared Miner,Endangered,"[""SA"", ""NSW"", ""VIC""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=449
Melanodryas cucullata cucullata,"South-eastern Hooded Robin, Hooded Robin (south-eastern)",Endangered,"[""SA"", ""QLD"", ""NSW"", ""VIC"", ""ACT""]",cucullata,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67093
Melanodryas cucullata melvillensis,"Tiwi Islands Hooded Robin, Hooded Robin (Tiwi Islands)",Critically Endangered,"[""NT""]",melvillensis,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67092
Melithreptus brevirostris magnirostris,Kangaroo Island Brown-headed Honeyeater,Endangered,"[""SA""]",magnirostris,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=80453
Mirafra javanica melvillensis,Horsfield's Bushlark (Tiwi Islands),Vulnerable,"[""NT""]",melvillensis,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81011
Neochmia ruficauda ruficauda,"Star Finch (eastern), Star Finch (southern)",Endangered,"[""QLD"", ""NSW""]",ruficauda,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26027
Neophema chrysogaster,Orange-bellied Parrot,Critically Endangered,"[""SA"", ""NSW"", ""VIC"", ""TAS""]",-,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=747
