scientific,name,status,count,profile
Polytelis alexandrae,Princess Parrot,Vulnerable,20,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=758
Polytelis swainsonii,Superb Parrot,Vulnerable,3106,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=738
Pterodroma heraldica,Herald Petrel,Critically Endangered,14,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66973
Pterodroma mollis,Soft-plumaged Petrel,Vulnerable,166,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1036
Pycnoptilus floccosus,Pilotbird,Vulnerable,874,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=525
Rostratula australis,Australian Painted Snipe,Endangered,194,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77037
Stagonopleura guttata,Diamond Firetail,Vulnerable,3285,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59398
Sternula albifrons,Little Tern,Vulnerable,4357,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82849
Stipiturus mallee,Mallee Emu-wren,Endangered,292,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59459
Thalassarche bulleri,Buller's Albatross,Vulnerable,1020,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64460
Thalassarche carteri,Indian Yellow-nosed  Albatross,Vulnerable,1347,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64464
Thalassarche cauta,Shy Albatross,Endangered,3434,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89224
Thalassarche chrysostoma,Grey-headed Albatross,Endangered,59,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66491
Thalassarche eremita,Chatham Albatross,Endangered,9,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64457
Thalassarche impavida,Campbell Albatross,Vulnerable,688,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64459
Thalassarche melanophris,Black-browed Albatross,Vulnerable,1971,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66472
Thalassarche salvini,Salvin's Albatross,Vulnerable,43,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64463
Thalassarche steadi,White-capped Albatross,Vulnerable,52,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64462
Tringa nebularia,Common Greenshank,Endangered,5841,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=832
Turnix melanogaster,Black-breasted Button-quail,Vulnerable,159,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=923
Xenus cinereus,Terek Sandpiper,Vulnerable,1921,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=59300
