scientific,name,count
Accipiter novaehollandiae,Accipiter novaehollandiae,319
Diomedea exulans,Diomedea exulans,308
Rallina tricolor,Rallina tricolor,302
Ardenna bulleri,Ardenna bulleri,301
Gallus gallus,Gallus gallus,295
Syma torotoro,Syma torotoro,293
Stipiturus mallee,Stipiturus mallee,292
Quoyornis georgiana,Quoyornis georgiana,288
Pomatostomus halli,Pomatostomus halli,286
Arses lorealis,Arses lorealis,284
Ixobrychus dubius,Ixobrychus dubius,281
Peltohyas australis,Peltohyas australis,281
Macronectes giganteus,Macronectes giganteus,280
Tringa incana,Tringa incana,278
Geoffroyus geoffroyi,Geoffroyus geoffroyi,277
Sericornis beccarii,Sericornis beccarii,272
Heteromunia pectoralis,Heteromunia pectoralis,267
Anas superciliosa X platyrhynchos,Anas superciliosa X platyrhynchos,266
Fregetta tropica,Fregetta tropica,265
Malurus coronatus,Malurus coronatus,265
Sula sula,Sula sula,265
Limosa haemastica,Limosa haemastica,263
Diomedea epomophora,Diomedea epomophora,262
Synoicus chinensis,Synoicus chinensis,260
Falco hypoleucos,Falco hypoleucos,259
Ashbyia lovensis,Ashbyia lovensis,256
Turnix maculosus,Turnix maculosus,252
Acanthiza iredalei,Acanthiza iredalei,247
Diomedea sanfordi,Diomedea sanfordi,246
Epthianura crocea,Epthianura crocea,246
Amytornis textilis,Amytornis textilis,244
Acanthiza robustirostris,Acanthiza robustirostris,243
Ailuroedus melanotis,Ailuroedus melanotis,242
Geophaps smithii,Geophaps smithii,241
Tringa guttifer,Tringa guttifer,239
Podargus ocellatus,Podargus ocellatus,238
Pluvialis dominica,Pluvialis dominica,235
Atrichornis rufescens,Atrichornis rufescens,230
Cracticus mentalis,Cracticus mentalis,230
Tregellasia leucops,Tregellasia leucops,229
Cuculus optatus,Cuculus optatus,220
Phonygammus keraudrenii,Phonygammus keraudrenii,214
Petrophassa rufipennis,Petrophassa rufipennis,213
Glareola maldivarum,Glareola maldivarum,211
Cinclosoma castaneothorax,Cinclosoma castaneothorax,210
Poephila cincta,Poephila cincta,206
Turnix pyrrhothorax,Turnix pyrrhothorax,203
Aphelocephala nigricincta,Aphelocephala nigricincta,201
Limnodromus semipalmatus,Limnodromus semipalmatus,200
Chlamydera cerviniventris,Chlamydera cerviniventris,199
Rostratula australis,Rostratula australis,194
Stipiturus ruficeps,Stipiturus ruficeps,191
Charadrius veredus,Charadrius veredus,185
Cisticola juncidis,Cisticola juncidis,184
Sula dactylatra,Sula dactylatra,183
Amytornis dorotheae,Amytornis dorotheae,182
Pterodroma neglecta,Pterodroma neglecta,181
Turdus philomelos,Turdus philomelos,181
Drymodes superciliaris,Drymodes superciliaris,178
Pterodroma leucoptera,Pterodroma leucoptera,177
Cygnus olor,Cygnus olor,174
Oreoscopus gutturalis,Oreoscopus gutturalis,168
Meliphaga albilineata,Meliphaga albilineata,166
Pterodroma mollis,Pterodroma mollis,166
Bolemoreus hindwoodi,Bolemoreus hindwoodi,165
Phaethon rubricauda,Phaethon rubricauda,165
Amytornis purnelli,Amytornis purnelli,164
Lonchura flaviprymna,Lonchura flaviprymna,162
Elanus scriptus,Elanus scriptus,159
Turnix melanogaster,Turnix melanogaster,159
Cinclosoma clarum,Cinclosoma clarum,158
Fulmarus glacialoides,Fulmarus glacialoides,153
Cacomantis castaneiventris,Cacomantis castaneiventris,146
Calamanthus montanellus,Calamanthus montanellus,146
Trichodere cockerelli,Trichodere cockerelli,143
Pachycephala rufogularis,Pachycephala rufogularis,140
Ptilinopus alligator,Ptilinopus alligator,138
Tyto longimembris,Tyto longimembris,136
Tyto multipunctata,Tyto multipunctata,135
Amytornis goyderi,Amytornis goyderi,132
Stercorarius longicaudus,Stercorarius longicaudus,128
Amytornis ballarae,Amytornis ballarae,127
Hirundo rustica,Hirundo rustica,127
Psophodes leucogaster,Psophodes leucogaster,127
Cinclosoma marginatum,Cinclosoma marginatum,124
Pterodroma cookii,Pterodroma cookii,124
Psittacula krameri,Psittacula krameri,123
Psephotellus chrysopterygius,Psephotellus chrysopterygius,121
Pitta erythrogaster,Pitta erythrogaster,118
Phoebetria palpebrata,Phoebetria palpebrata,112
Procellaria westlandica,Procellaria westlandica,110
Glycichaera fallax,Glycichaera fallax,107
Puffinus assimilis,Puffinus assimilis,106
Cinclosoma alisteri,Cinclosoma alisteri,103
Halobaena caerulea,Halobaena caerulea,99
Meleagris gallopavo,Meleagris gallopavo,94
Aphelocephala pectoralis,Aphelocephala pectoralis,93
Erythrotriorchis radiatus,Erythrotriorchis radiatus,92
Monarcha frater,Monarcha frater,92
Tringa totanus,Tringa totanus,91
Erythrura trichroa,Erythrura trichroa,90
Calidris minuta,Calidris minuta,88
Amytornis modestus,Amytornis modestus,87
Streptopelia roseogrisea,Streptopelia roseogrisea,86
Amytornis rowleyi,Amytornis rowleyi,85
Turnix castanotus,Turnix castanotus,84
Procellaria cinerea,Procellaria cinerea,83
Phoebetria fusca,Phoebetria fusca,82
Microeca griseoceps,Microeca griseoceps,81
Phaethon lepturus,Phaethon lepturus,79
Meliphaga fordiana,Meliphaga fordiana,76
Struthio camelus,Struthio camelus,74
Spatula clypeata,Spatula clypeata,72
Gallinago megala,Gallinago megala,71
Pachyptila desolata,Pachyptila desolata,70
Zosterops citrinella,Zosterops citrinella,68
Phasianus colchicus,Phasianus colchicus,66
Aidemosyne modesta,Aidemosyne modesta,64
Amytornis merrotsyi,Amytornis merrotsyi,61
Northiella narethae,Northiella narethae,60
Thalassarche chrysostoma,Thalassarche chrysostoma,59
Procellaria parkinsoni,Procellaria parkinsoni,58
Amaurornis cinerea,Amaurornis cinerea,57
Conopophila whitei,Conopophila whitei,56
Pterodroma inexpectata,Pterodroma inexpectata,56
Amytornis whitei,Amytornis whitei,55
Leucophaeus atricilla,Leucophaeus atricilla,55
Manorina melanotis,Manorina melanotis,54
Charadrius semipalmatus,Charadrius semipalmatus,53
Thalassarche steadi,Thalassarche steadi,52
Amytornis barbatus,Amytornis barbatus,47
Charadrius hiaticula,Charadrius hiaticula,45
Thalassarche salvini,Thalassarche salvini,43
Pachyptila belcheri,Pachyptila belcheri,40
Amytornis housei,Amytornis housei,39
Leucophaeus pipixcan,Leucophaeus pipixcan,39
Bulweria bulwerii,Bulweria bulwerii,37
Neochmia ruficauda,Neochmia ruficauda,35
Haematopus finschi,Haematopus finschi,33
Ixobrychus flavicollis,Ixobrychus flavicollis,33
Pedionomus torquatus,Pedionomus torquatus,31
Stercorarius maccormicki,Stercorarius maccormicki,30
Neophema chrysogaster,Orange-bellied Parrot,29
Anous tenuirostris,Anous tenuirostris,27
Pterodroma cervicalis,Pterodroma cervicalis,26
Hydrobates monorhis,Hydrobates monorhis,22
Sterna paradisaea,Sterna paradisaea,22
Polytelis alexandrae,Polytelis alexandrae,20
Anous albivitta,Anous albivitta,19
Gygis alba,Gygis alba,18
Neophema splendida,Neophema splendida,18
Pterodroma nigripennis,Pterodroma nigripennis,18
Hydrobates matsudairae,Hydrobates matsudairae,15
Psittacula eupatria,Psittacula eupatria,15
Pterodroma heraldica,Pterodroma heraldica,14
Arses telescopthalmus,Arses telescopthalmus,13
Larus crassirostris,Larus crassirostris,12
Thalassarche eremita,Thalassarche eremita,9
Ardenna gravis,Ardenna gravis,8
Eudyptes chrysolophus,Eudyptes chrysolophus,8
Sterna vittata,Sterna vittata,7
Alectoris chukar,Alectoris chukar,6
Calidris pugnax,Calidris pugnax,6
Eudyptes pachyrhynchus,Eudyptes pachyrhynchus,6
Motacilla alba,Motacilla alba,6
Numenius arquata,Numenius arquata,6
Callipepla californica,Callipepla californica,5
Cecropis daurica,Cecropis daurica,5
Charadrius dubius,Charadrius dubius,4
Papasula abbotti,Papasula abbotti,4
Agapornis roseicollis,Agapornis roseicollis,3
Phylloscopus borealis,Phylloscopus borealis,3
Amytornis woodwardi,Amytornis woodwardi,2
Cyanoramphus novaezelandiae,Cyanoramphus novaezelandiae,2
Fregetta grallaria,Fregetta grallaria,2
Phalaropus lobatus,Phalaropus lobatus,2
Aptenodytes patagonicus,Aptenodytes patagonicus,1
Monarcha cinerascens,Monarcha cinerascens,1
Motacilla cinerea,Motacilla cinerea,1
Motacilla citreola,Motacilla citreola,1
Myiopsitta monachus,Myiopsitta monachus,1
