Scientific Name,Common Name,Current Scientific Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,ACI,CKI,CI,CSI,JBT,NFI,HMI,AAT,CMA,Listed SPRAT TaxonID,Current SPRAT TaxonID,Kingdom,Class,Profile,Date extracted,NSL Name,Family,Genus,Species,Infraspecific Rank,Infraspecies,Species Author,Infraspecies Author
Abutilon julianae,Norfolk Island Abutilon,-,Critically Endangered,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,27797,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=27797,2026-Aug-28,https://id.biodiversity.org.au/name/apni/56543,Malvaceae,Abutilon,julianae,-,-,Endl.,-
Acacia ammophila,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,3763,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3763,2026-Aug-28,https://id.biodiversity.org.au/name/apni/58340,Fabaceae,Acacia,ammophila,-,-,Pedley,-
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,8153,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8153,2026-Aug-28,https://id.biodiversity.org.au/name/apni/58556,Fabaceae,Acacia,anomala,-,-,C.A.Gardner ex Court,-
Acacia aphylla,Leafless Rock Wattle,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,13553,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13553,2026-Aug-28,https://id.biodiversity.org.au/name/apni/58565,Fabaceae,Acacia,aphylla,-,-,Maslin,-
Acacia aprica,Blunt Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64821,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64821,2026-Aug-28,https://id.biodiversity.org.au/name/apni/149911,Fabaceae,Acacia,aprica,-,-,Maslin  A.R.Chapman,-
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,20767,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20767,2026-Aug-28,https://id.biodiversity.org.au/name/apni/58598,Fabaceae,Acacia,araneosa,-,-,Whibley,-
Acacia aristulata,Watheroo Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64822,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64822,2026-Aug-28,https://id.biodiversity.org.au/name/apni/150783,Fabaceae,Acacia,aristulata,-,-,Maslin,-
Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64823,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64823,2026-Aug-28,https://id.biodiversity.org.au/name/apni/141458,Fabaceae,Acacia,ataxiphylla,subsp.,magna,Maslin,-
Acacia atrox,Myall Creek Wattle,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82665,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82665,2026-Aug-28,https://id.biodiversity.org.au/name/apni/169779,Fabaceae,Acacia,atrox,-,-,Kodela,-
Acacia attenuata,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,10690,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10690,2026-Aug-28,https://id.biodiversity.org.au/name/apni/58907,Fabaceae,Acacia,attenuata,-,-,Maiden  Blakely,-
Acacia auratiflora,Orange-flowered Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64824,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64824,2026-Aug-28,https://id.biodiversity.org.au/name/apni/150778,Fabaceae,Acacia,auratiflora,-,-,R.Cowan  Maslin,-
Acacia awestoniana,Stirling Range Wattle,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,55562,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55562,2026-Aug-28,https://id.biodiversity.org.au/name/apni/117973,Fabaceae,Acacia,awestoniana,-,-,R.S.Cowan  Maslin,-
Acacia axillaris,"Midlands Mimosa, Midlands Wattle",-,Vulnerable,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,13563,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13563,2026-Aug-28,https://id.biodiversity.org.au/name/apni/59024,Fabaceae,Acacia,axillaris,-,-,Benth.,-
Acacia baueri subsp. aspera,-,-,Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18662,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18662,2026-Aug-28,https://id.biodiversity.org.au/name/apni/59217,Fabaceae,Acacia,baueri,subsp.,aspera,-,(Maiden  Betche) Pedley
Acacia blayana,Blay's Wattle,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56297,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56297,2026-Aug-28,https://id.biodiversity.org.au/name/apni/118800,Fabaceae,Acacia,blayana,-,-,Tindale  Court,-
Acacia brachypoda,Western Wheatbelt Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,55594,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55594,2026-Aug-28,https://id.biodiversity.org.au/name/apni/118007,Fabaceae,Acacia,brachypoda,-,-,Maslin,-
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8575,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8575,2026-Aug-28,https://id.biodiversity.org.au/name/apni/59969,Fabaceae,Acacia,bynoeana,-,-,Benth.,-
Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",-,Vulnerable,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,21883,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21883,2026-Aug-28,https://id.biodiversity.org.au/name/apni/59987,Fabaceae,Acacia,caerulescens,-,-,Maslin  Court,-
Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",-,Vulnerable,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,66685,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66685,2026-Aug-28,https://id.biodiversity.org.au/name/apni/164737,Fabaceae,Acacia,carneorum,-,-,Maiden,-
Acacia chapmanii subsp. australis,-,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,65249,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65249,2026-Aug-28,https://id.biodiversity.org.au/name/apni/153433,Fabaceae,Acacia,chapmanii,subsp.,australis,-,R.S.Cowan  Maslin
Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,23877,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=23877,2026-Aug-28,https://id.biodiversity.org.au/name/apni/153457,Fabaceae,Acacia,cochlocarpa,subsp.,cochlocarpa,Meisn.,-
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,65112,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65112,2026-Aug-28,https://id.biodiversity.org.au/name/apni/152953,Fabaceae,Acacia,cochlocarpa,subsp.,velutinosa,-,Maslin  A.R.Chapm.
Acacia constablei,Narrabarba Wattle,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10798,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10798,2026-Aug-28,https://id.biodiversity.org.au/name/apni/60740,Fabaceae,Acacia,constablei,-,-,Tind.,-
Acacia courtii,"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",-,Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56299,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56299,2026-Aug-28,https://id.biodiversity.org.au/name/apni/118803,Fabaceae,Acacia,courtii,-,-,Tindale  Herscovitch,-
Acacia cretacea,Chalky Wattle,-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,10689,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10689,2026-Aug-28,https://id.biodiversity.org.au/name/apni/60982,Fabaceae,Acacia,cretacea,-,-,Maslin  Whibley,-
Acacia crombiei,Pink Gidgee,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,10927,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10927,2026-Aug-28,https://id.biodiversity.org.au/name/apni/61004,Fabaceae,Acacia,crombiei,-,-,C.White,-
Acacia curranii,Curly-bark Wattle,-,Vulnerable,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,3908,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3908,2026-Aug-28,https://id.biodiversity.org.au/name/apni/61102,Fabaceae,Acacia,curranii,-,-,Maiden,-
Acacia dangarensis,-,-,Critically Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55214,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55214,2026-Aug-28,https://id.biodiversity.org.au/name/apni/117590,Fabaceae,Acacia,dangarensis,-,-,Tindale  Kodela,-
Acacia denticulosa,Sandpaper Wattle,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,20600,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20600,2026-Aug-28,https://id.biodiversity.org.au/name/apni/61680,Fabaceae,Acacia,denticulosa,-,-,F.Muell.,-
Acacia depressa,Echidna Wattle,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,5685,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5685,2026-Aug-28,https://id.biodiversity.org.au/name/apni/61761,Fabaceae,Acacia,depressa,-,-,Maslin,-
Acacia deuteroneura,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,12836,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12836,2026-Aug-28,https://id.biodiversity.org.au/name/apni/61790,Fabaceae,Acacia,deuteroneura,-,-,Pedley,-
Acacia enterocarpa,Jumping-jack Wattle,-,Endangered,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,17615,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17615,2026-Aug-28,https://id.biodiversity.org.au/name/apni/62586,Fabaceae,Acacia,enterocarpa,-,-,R.V.Sm.,-
Acacia equisetifolia,a shrub,-,Critically Endangered,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87480,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87480,2026-Aug-28,https://id.biodiversity.org.au/name/apni/246583,Fabaceae,Acacia,equisetifolia,-,-,Maslin  Cowie,-
Acacia eremophiloides,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,9280,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9280,2026-Aug-28,https://id.biodiversity.org.au/name/apni/62649,Fabaceae,Acacia,eremophiloides,-,-,Pedley  P.Forster,-
Acacia flocktoniae,Flockton Wattle,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3134,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3134,2026-Aug-28,https://id.biodiversity.org.au/name/apni/63159,Fabaceae,Acacia,flocktoniae,-,-,Maiden,-
Acacia forrestiana,Forest's Wattle,-,Vulnerable,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,17235,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17235,2026-Aug-28,https://id.biodiversity.org.au/name/apni/63207,Fabaceae,Acacia,forrestiana,-,-,E.Pritzel,-
Acacia forsteri,Forster's Wattle,-,Critically Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,91335,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=91335,2026-Aug-28,https://id.biodiversity.org.au/name/apni/51337770,Fabaceae,Acacia,forsteri,-,-,Pedley,-
Acacia georgensis,Bega Wattle,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9848,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9848,2026-Aug-28,https://id.biodiversity.org.au/name/apni/63478,Fabaceae,Acacia,georgensis,-,-,Tindale,-
Acacia glandulicarpa,Hairy-pod Wattle,-,Vulnerable,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,8838,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8838,2026-Aug-28,https://id.biodiversity.org.au/name/apni/63594,Fabaceae,Acacia,glandulicarpa,-,-,Reader,-
Acacia gordonii,-,-,Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5031,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5031,2026-Aug-28,https://id.biodiversity.org.au/name/apni/63812,Fabaceae,Acacia,gordonii,-,-,(Tind.) Pedley,-
Acacia grandifolia,-,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,3566,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3566,2026-Aug-28,https://id.biodiversity.org.au/name/apni/63868,Fabaceae,Acacia,grandifolia,-,-,Pedley,-
Acacia handonis,"Hando's Wattle, Percy Grant Wattle",-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,14928,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14928,2026-Aug-28,https://id.biodiversity.org.au/name/apni/64171,Fabaceae,Acacia,handonis,-,-,Pedley,-
Acacia imitans,Gibson Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,65211,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65211,2026-Aug-28,https://id.biodiversity.org.au/name/apni/151151,Fabaceae,Acacia,imitans,-,-,Maslin,-
Acacia insolita subsp. recurva,Yornaning Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64495,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64495,2026-Aug-28,https://id.biodiversity.org.au/name/apni/153115,Fabaceae,Acacia,insolita,subsp.,recurva,-,Maslin
Acacia kingiana,-,-,Extinct,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,13816,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13816,2026-Aug-28,https://id.biodiversity.org.au/name/apni/65055,Fabaceae,Acacia,kingiana,-,-,Maiden  Blakely,-
Acacia lanigera var. gracilipes,-,-,Endangered,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,31652,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=31652,2026-Aug-28,https://id.biodiversity.org.au/name/apni/65124,Fabaceae,Acacia,lanigera,var.,gracilipes,-,Benth.
Acacia lanuginophylla,Woolly Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,55575,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55575,2026-Aug-28,https://id.biodiversity.org.au/name/apni/117986,Fabaceae,Acacia,lanuginophylla,-,-,R.S.Cowan and Maslin,-
Acacia latzii,Latz's Wattle,-,Vulnerable,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,14275,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14275,2026-Aug-28,https://id.biodiversity.org.au/name/apni/65314,Fabaceae,Acacia,latzii,-,-,Maslin,-
Acacia lauta,Tara Wattle,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,4165,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=4165,2026-Aug-28,https://id.biodiversity.org.au/name/apni/65324,Fabaceae,Acacia,lauta,-,-,Pedley,-
Acacia leptalea,Chinocup Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,56701,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56701,2026-Aug-28,https://id.biodiversity.org.au/name/apni/151309,Fabaceae,Acacia,leptalea,-,-,Maslin,-
Acacia leptoneura,-,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,15610,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15610,2026-Aug-28,https://id.biodiversity.org.au/name/apni/65504,Fabaceae,Acacia,leptoneura,-,-,Benth.,-
Acacia lobulata,Chiddarcooping Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,55567,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55567,2026-Aug-28,https://id.biodiversity.org.au/name/apni/117978,Fabaceae,Acacia,lobulata,-,-,R.S.Cowan  Maslin,-
Acacia lumholtzii,Girringun Wattle,-,Critically Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,84844,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84844,2026-Aug-28,https://id.biodiversity.org.au/name/apni/204388,Fabaceae,Acacia,lumholtzii,-,-,Pedley,-
Acacia macnuttiana,McNutt's Wattle,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10711,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10711,2026-Aug-28,https://id.biodiversity.org.au/name/apni/66509,Fabaceae,Acacia,macnuttiana,-,-,Maiden  Blakely,-
Acacia meiantha,-,-,Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55608,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55608,2026-Aug-28,https://id.biodiversity.org.au/name/apni/118024,Fabaceae,Acacia,meiantha,-,-,Tindale  Herscovitch,-
Acacia menzelii,Menzel's Wattle,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,9218,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9218,2026-Aug-28,https://id.biodiversity.org.au/name/apni/66714,Fabaceae,Acacia,menzelii,-,-,J.Black,-
Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",-,Vulnerable,-,-,Yes,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,8301,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8301,2026-Aug-28,https://id.biodiversity.org.au/name/apni/68505,Fabaceae,Acacia,peuce,-,-,F.Muell.,-
Acacia pharangites,Wongan Gully Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,20281,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20281,2026-Aug-28,https://id.biodiversity.org.au/name/apni/68523,Fabaceae,Acacia,pharangites,-,-,Maslin,-
Acacia phasmoides,Phantom Wattle,-,Vulnerable,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,2784,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=2784,2026-Aug-28,https://id.biodiversity.org.au/name/apni/68526,Fabaceae,Acacia,phasmoides,-,-,J.H.Willis,-
Acacia pickardii,Birds Nest Wattle,-,Vulnerable,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,17259,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17259,2026-Aug-28,https://id.biodiversity.org.au/name/apni/68588,Fabaceae,Acacia,pickardii,-,-,Tindale,-
Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",-,Endangered,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,5319,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=5319,2026-Aug-28,https://id.biodiversity.org.au/name/apni/68635,Fabaceae,Acacia,pinguifolia,-,-,J.M.Black,-
Acacia porcata,-,-,Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,55115,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55115,2026-Aug-28,https://id.biodiversity.org.au/name/apni/117478,Fabaceae,Acacia,porcata,-,-,P.I.Forst.,-
Acacia praemorsa,Senna Wattle,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,55363,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55363,2026-Aug-28,https://id.biodiversity.org.au/name/apni/117775,Fabaceae,Acacia,praemorsa,-,-,P.J.Lang  Maslin,-
Acacia praetermissa,a shrub,-,Vulnerable,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14840,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14840,2026-Aug-28,https://id.biodiversity.org.au/name/apni/68889,Fabaceae,Acacia,praetermissa,-,-,Tind.,-
Acacia prismifolia,Diels' Wattle,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,19955,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19955,2026-Aug-28,https://id.biodiversity.org.au/name/apni/68966,Fabaceae,Acacia,prismifolia,-,-,E.Pritz.,-
Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18800,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18800,2026-Aug-28,https://id.biodiversity.org.au/name/apni/69166,Fabaceae,Acacia,pubescens,-,-,(Vent.) R.Br.,-
Acacia pubifolia,Velvet Wattle,-,Endangered,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,19799,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19799,2026-Aug-28,https://id.biodiversity.org.au/name/apni/69183,Fabaceae,Acacia,pubifolia,-,-,Pedley,-
Acacia purpureopetala,Purple-flowered Wattle,-,Critically Endangered,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,61156,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=61156,2026-Aug-28,https://id.biodiversity.org.au/name/apni/168881,Fabaceae,Acacia,purpureopetala,-,-,F.M.Bailey,-
Acacia pycnostachya,Bolivia Wattle,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13415,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13415,2026-Aug-28,https://id.biodiversity.org.au/name/apni/194179,Fabaceae,Acacia,pycnostachya,-,-,F.Muell.,-
Acacia pygmaea,Dwarf Rock Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,56768,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56768,2026-Aug-28,https://id.biodiversity.org.au/name/apni/134921,Fabaceae,Acacia,pygmaea,-,-,Maslin,-
Acacia recurvata,Recurved Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64825,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64825,2026-Aug-28,https://id.biodiversity.org.au/name/apni/151157,Fabaceae,Acacia,recurvata,-,-,R.Cowan  Maslin,-
Acacia rhamphophylla,Kundip Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,64659,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64659,2026-Aug-28,https://id.biodiversity.org.au/name/apni/151314,Fabaceae,Acacia,rhamphophylla,-,-,Maslin,-
